discount_pct,unit_price,quantity,order_date,total_amount,customer_id,product_name,pincode,status,rating,order_id,city,category,payment_method,phone,state
,650,0,30-Jul-2024,0.00,CUST_,Desk Lamp,,Shipped,5 stars,ORD_0016 ,,ELECTRONICS,Net Banking,9422202394,N/A
23,8500..,7,1705861800,-454750.00,CUST_0215 ,Monitor,,pending,6,ORD_0017,JAIPUR,Electronics, Credit Card,9140455784,  Rajasthan
-5,nan,6,2023-08-27,367463.25,CUST_0173,Pen Set,431731,Returned,Good,ord_0018,pune,stationery,debit card,+91-91130-75994,
1,650#,,1685385000,8099.00,CUST_,Desk Lamp (New),N/A,Canc3ll3d,-1,ORD_019,kolkata,ELECTRONICS,COD,97937 42364,West Bengal
,8500..,,1732645800,6460.00,CUST_0579,Monitor,33819,Shipped,6,ORD_0020,,electronics,UPI,09859700551,T@mil N@du
10%,4500.00,493,1733077800,1620000.00,CUST_0252,Office Chair,N/A,Delivered ,2,ORD_0021 ,BANGALORE,Furn, Credit Card,+91 94239 07177,Karnataka
N/A,45,114.0,2023-04-29,225.00,CUST_0577,Notebook,115881 ,returned,6,ord_0022, Jaipur ,STATIONERY,wallet,96613 31719,Rajasthan
,4500..,N/A,04-09-2024,38880.00,CUST_0513,Office Chair,148687,Canc3ll3d,N/A,ORD_0014,Kolkata,FURNITURE,N/A,,West Bengal
null,inf,-1,07/12/2024,8514.88,CUST_0328,Bookshelf,, Shipped,3,ORD_0023 ,  Kolkata,Furniture,CREDIT CARD,+91-99151-03772,N/A
20,$199.00,175,27-05-2023,1711228.86,CUST_???,Phone Holder,488454 ,Canc3ll3d,Good,ORD_0024,"Hyderabad,",Acce,Credit Card,97106 03567,Telangana
,,,,,,,,,,,,,,,
N/A,inf,12,11-11-2023,Rs.113,CUST_0469,HDMI Cable,000000,Pend,3,ORD_0025,unknown,Electronicss,UPI,+91 92719 92619,  Telangana
-5,inf,13,2023-10-29,Rs.25,#REF!,Sticky Notes,072596,Returned ,,ORD_026,jaipur,Stationery, Credit Card,+91-99096-44722,R@j@sth@n
,45,N/A,1713897000,33.75,#REF!,Notebook - Imported,000000,Cancelled,6,ORD_0027 ,,Stationery,Debit Card,9806122190,  Delhi
N/A,$120.00,,2024-11-21,103.20,CUST_???,HDMI Cable,733706,Cancelled,5 stars,ORD_0028,  Bangalore,electronics,N/A,919949052548,N/A
22.5,inf,N/A,2024-10-26,0.00,CUST_0332,Desk Lamp,N/A, Shipped,1,ord_0029,"Hyderabad,",ELECTRONICS,,90887 89909,telangana
-5,Rs. 9800.00,302,26/09/2023,"$119,168.00",CUST_,Standing Desk,804712, Delivered,N/A,ORD_0030,MUMBAI,furniture,COD,9621052244,Maharashtra
150,35#,322,12-Feb-2023,$700.00,CUST_0347,Pen Set,,Cancelled,5 stars,ORD_0031,Hyderabad,STATIONERY,N/A,+91-99605-08805,  Telangana
19,"$9,800.00",N/A,18/10/2024,Rs.97990200,CUST_0358,Standing Desk,,PENDING,N/A,ORD_0032,ahmedabad,Furnitures,,9940042915,  Gujarat
11,Rs. 1200.00,N/A,04/12/2024,15960.00,CUST_,Laptop Stand,79724,Delivered,2,ORD_0033 ,AHMEDABAD,  Electronics  ,N/A,,
150,inf,0,01-02-2023,Rs.75,00187,Screen Cleaner,,Cancelled,0,ORD_0034,,accessories,N/A,,karnataka
,45,N/A,1713897000,33.75,#REF!,Notebook - Imported,000000,Cancelled,6,ORD_0027 ,,,Debit Card,9806122190,  Delhi
6.8,1800.0,N/A,1685989800,$-900.00,CUST_???,Webcam  ,81962,Returned,-1,ORD_0035,jaipur,ELECTRONICS,DEBIT CARD,919119417577,N/A
6,Rs. 1200.00,15,"Mar 03, 2023",0.00,CUST_,Laptop Stand,011039,Pending ,5,ORD_0036,Jaipur,Electronics,,96874 43562,  Rajasthan
26,450..,12,1699554600,-450.00,CUST_???,Wireless Mouse,000000,Pending,5 stars,ord_0037,  Chennai,  Electronics  , Debit Card,9698946155,T@mil N@du
N/A,35.0,7,12/05/2024,,#REF!,Pen Set,168143,RETURNED,2,ORD_0038,unknown,  Stationery  ,,98651 61150,N/A
,899#,-2,2023-05-27,,CUST_,USB Hub,,P3nding,3,ord_0039,  Kolkata,Electronics,UPI,9228516794,
14.2,8500.00,292,"Apr 09, 2024",17850.00,#REF!,Monitor,603937,Delivered,Good,ORD_0040,JAIPUR,electronics,N/A,919027259878,R@j@sth@n
16.2,8500#,9999,2023-06-24,40120.00,CUST_0196,Monitor,N/A,Shipp3d,5 stars,ord_0041, Chennai ,Elec,wallet,09887189471,N/A
N/A,nan,,2024-10-29,0.00,CUST_0559,Keyboard,652479,Ship,5 stars,ORD_0042 , Chennai ,electronics,Debit Card,09745012106,tamil nadu
,85.00,9.0,1717698600,Rs.446,CUST_0266,Stapler,733972, Delivered,2,ord_0043,"Surat,",Stationery,Wallet,+91-93543-47918,N/A
22.1,nan,N/A,25-04-2024,137.35,CUST_,HDMI Cable  ,,Pending ,0,ORD_044,  Bangalore,Electronics,wallet,,K@rn@t@k@
4.2,850..,0,"Sep 12, 2023",722.50,CUST_,Laptop Bag,298165,Canc3ll3d,,ORD_0045 ,Kolkata,ACCESSORIES, UPI,,N/A
,$120.00,16,20/03/2024,0.00,CUST_0116,HDMI Cable,000000,Returned,0,ORD_0046, Delhi ,Electronics,Wallet,+91 97325 40920,Delhi
N/A,850.00,-1,2023-08-19,0.00,,Laptop Bag,N/A,Delivered,0,ORD_0047, Mumbai ,Accessoriess,,9050515558,Maharashtra
-5,45#,151,08-Dec-2024,53.10,#REF!,Notebook,,Pending,Good,ORD_048, Jaipur ,STATIONERY,N/A,,R@j@sth@n
14,450.00,468,2024-01-05,557.55,CUST_0278,Wireless Mouse,,Pend,2,ORD_0049,PUNE,electronics, UPI,+91-91860-73438,  Maharashtra
13,1200#,10,1731695400,0.00,CUST_0119 ,Laptop Stand,031188, Pending,N/A,ORD_050,bangalore,electronics,net banking,919919745307,K@rn@t@k@
2,8500,11,30-Sep-2024,2601000.00,CUST_???,Monitor,,Pendind,6,ORD_0051 ,,Elec,WALLET,+91 99994 61140,N/A
20,$750.00,19.0,"Oct 01, 2023",-375.00,#REF!,Keyboard,,Pendind,,ord_0052,unknown,  Electronics  ,COD,9178495444,Delhi
null,85.0,,1711391400,0.00,CUST_0147,Stapler,N/A,Pending,6,ORD_0053,SURAT,Stat,Credit Card,91916 59996,Gujarat
-5,9800..,-1,"Feb 06, 2024","$76,432,356.00",CUST_0594,Standing Desk,918261,RETURNED,5 stars,ORD_0054,delhi,Furn,,+91 93343 06874,Delhi
20,Rs. 4500.00,18.0,1717093800,4354.20,CUST_???,Office Chair,N/A,Deli,4,ORD_0055,Kolkata,furniture,wallet,+91 97256 98373,west bengal
19,1800,5,28-05-2024,Rs.0,CUST_0406,Webcam,N/A,delivered,-1,ORD_0056 ,unknown,ELECTRONICS,,919854225723,Tel@ng@n@
150,Rs. 199.00,0,1714069800,-75222.00,,Phone Holder,986756,Cancelled,-1,ORD_0057,Bangalore,  Accessories  ,upi,+91-93192-56249,N/A
10%,$45.00,0,19-May-2024,530946.90,#REF!,Notebook,N/A,Deli,,ORD_0058, Jaipur ,STATIONERY,CREDIT CARD,919169189574,
16,650.00,9999.0,06-06-2023,3042.00,00153,Desk Lamp,61947,Ship,-1,ord_0059,unknown,Electronicss,Net Banking,09133493311,Gujarat
N/A,inf,0,2023-11-21,128.86,CUST_0268,Pen Set,048770,CANCELLED,Good,ORD_0060,mumbai,stationery,WALLET,919387630653,N/A
,75.00,,06-Jan-2024,79.65,CUST_???,Screen Cleaner,674308,Returned ,-1,ORD_0061,kolkata,Acce,NET BANKING,+91 95323 79480,
17,199.0,441,15-04-2023,2596.95,CUST_0486,Phone Holder,63247,CANCELLED,,ORD_0062, Pune ,  Accessories  ,CREDIT CARD,+91 92098 86848,M@h@r@shtr@
26.0,899,312,18-Jan-2024,Rs.205871,,USB Hub,387827, Shipped,1,ORD_0063,unknown,Electronics,Wallet,919127403147,
10%,$35.00,12,1733682600,Rs.35,CUST_,Pen Set,434023,Delivered,N/A,ORD_0064 ,  Delhi,stationery,UPI,+91-98198-37610,
13,inf,3,"Nov 06, 2023",,#REF!,Office Chair,491473,PENDING,-1,ord_0065,mumbai,Furnitures,N/A,96703 58981,Maharashtra
null,Rs. 850.00,3,2024-03-02,1003.00,00125,Laptop Bag,000000,Delivered ,-1,ORD_0066,"Hyderabad,",Acce,,,Tel@ng@n@
,9800.00,1,24/05/2024,,CUST_,Standing Desk,838527,Pending,0,ORD_067,JAIPUR,Furnitures, COD,+91-94141-61467,rajasthan
-5,Rs. 8500.00,-2,2023-01-22,-0.00,00287,Monitor,N/A, Shipped,0,ord_0068,"Ahmedabad,",Elec,COD,,Guj@r@t
15,199.0,132,2024-09-26,0.00,CUST_???,Phone Holder (New),N/A,D3liv3r3d,6,ORD_0069 ,Pune,accessories,Debit Card,919229990428,Maharashtra
12,650.00,9999,14-Dec-2023,Rs.1300,CUST_,Desk Lamp - Imported,N/A,Returned,N/A,ORD_0070,,Electronics,N/A,+91 97969 94070,K@rn@t@k@
5.7,nan,13,13/01/2024,35720.96,CUST_???,Bookshelf,920383,Cancelled ,5 stars,ORD_071,"Mumbai,",furniture,N/A,9549092447,
null,inf,9999,1694457000,11687.00,CUST_,USB Hub,49671,Deli,,ORD_0072,kolkata,  Electronics  ,,9855783335,West Beng@l
10%,$199.00,0,29/09/2024,2985.00,CUST_0172,Phone Holder,839069 ,Ship,-1,ORD_073,,ACCESSORIES,Credit Card,+91 99477 71094,
N/A,75.00,0,23-Jun-2024,-64.50,CUST_,Screen Cleaner,223302,Canc,5 stars,ord_0074,AHMEDABAD,Acce, UPI,,gujarat
150,9800.00,15,2024-07-22,9800.00,#REF!,Standing Desk,000000,PENDING,,ORD_0075, Bangalore ,Furn,debit card,96707 87601,  Karnataka
12,650.00,9999,14-Dec-2023,Rs.1300,CUST_,Desk Lamp - Imported,N/A,Returned,,ORD_0070,,Electronics,N/A,+91 97969 94070,K@rn@t@k@
150,Rs. 750.00,,16-Nov-2024,0.00,CUST_0399 ,Keyboard,083277,DELIVERED,N/A,ORD_0076,unknown,Elec,UPI,9535958904,  Delhi
10%,25,229,"Mar 05, 2023",23.82,CUST_???,Sticky Notes,050615,Delivered,5,ORD_0077,  Chennai,Stationery, Wallet,+91 91151 10971,tamil nadu
null,nan,287,1715279400,0.00,CUST_,HDMI Cable,611408,cancelled,4,ORD_078,Kolkata,Electronics,DEBIT CARD,919901782204,West Bengal
9,Rs. 75.00,N/A,27/11/2024,382.50,CUST_,Screen Cleaner,024888,R3turn3d,3,ORD_0079,"Hyderabad,",accessories,credit card,+91-92041-45604,Tel@ng@n@
0.9,inf,1,2023-09-13,-7644.00,CUST_???,Standing Desk,N/A,cancelled,,ORD_0080,kolkata,  Furniture  ,debit card,09570950174,West Beng@l
,inf,14,11/02/2023,Rs.8989101,,USB Hub,,DELIVERED,1,ORD_0081,,Electronics,N/A,9719748757,Delhi
null,inf,12,2023-12-23,Rs.2090,#REF!,Bookshelf,63883,Shipped,4,ord_0082,Bangalore,Furn,,919603816226,K@rn@t@k@
21.4,Rs. 199.00,-2,25/09/2024,690.37,CUST_0525,Phone Holder,22177,Delivered,6,ORD_0083, Chennai ,Accessories,CREDIT CARD,99017 17776,Tamil Nadu
-5,$35.00,N/A,08-Jan-2024,-315.00,CUST_0126,Pen Set,082363,Canc,,ORD_0084,unknown,Stationerys,WALLET,+91 98143 81587,Tel@ng@n@
7,inf,9999,2024-08-16,"$3,250.00",,Desk Lamp,38665,Pending ,N/A,ORD_0085,,Elec,Credit Card,09266890040,rajasthan
150,8500,20.0,10/12/2024,-44625.00,,Monitor,,Returned ,3,ORD_0086,bangalore,  Electronics  ,,+91-91483-42654,K@rn@t@k@
11,8500..,9,1684434600,,CUST_0225,Monitor,650833, Returned,N/A,ord_0087,"Chennai,",Electronics,N/A,+91-90721-05974,Tamil Nadu
,650#,9999.0,2023-12-27,0.00,CUST_???,Desk Lamp,N/A,Retu,2,ORD_0088, Pune ,Elec,cod,09376579402,N/A
150,nan,466.0,18-Jul-2023,0.00,CUST_???,Stapler,026577,Returned,,ORD_0089,,Stationerys,,09592642430,
10%,8500,0,1682965800,0.00,,Monitor,024758,cancelled,N/A,ORD_090,,Electronics,,09270581609,gujarat
16,120#,9999,04-Dec-2023,-70.80,CUST_0276,HDMI Cable,034328,R3turn3d,6,ord_0091,"Delhi,",Electronicss,NET BANKING,,N/A
16.0,$850.00,17,1711909800,850.00,CUST_0232,Laptop Bag,000000,Pendind,0,ORD_0092,unknown,accessories,Net Banking,9973308629,West Beng@l
10%,450,-1,"Oct 23, 2023",3902.85,CUST_???,Wireless Mouse,952144 ,Shipped,4,ORD_0093,unknown,Electronicss,DEBIT CARD,,Telangana
150,450#,9999,1685385000,3959604.00,CUST_,Wireless Mouse,469543,Pendind,5 stars,ORD_0094 , Delhi ,Electronics, Credit Card,+91-96219-32521,Delhi
,,,,,,,,,,,,,,,
10%,650.0,14,25-01-2023,682.50,,Desk Lamp,574245,Pending ,N/A,ORD_0095,KOLKATA,  Electronics  , COD,9167013944,  West Bengal
22,nan,0,01-05-2024,$32.90,#REF!,Pen Set,N/A,Cancelled ,N/A,ORD_0096,Mumbai,Stationerys,cod,09019125546,M@h@r@shtr@
10%,750#,-4,10-06-2024,11735.10,CUST_0347,Keyboard,68629,Pending ,,ord_0462,jaipur,Elec,UPI,+91-97225-54597,N/A
5.6,120.00,9,31-Mar-2024,0.00,CUST_0434,HDMI Cable,274056 ,Pend,,ORD_097,Mumbai,ELECTRONICS,Debit Card,97728 29467,
24,"$1,200.00",6,1695666600,"$11,998,800.00",CUST_,Laptop Stand,000000,delivered,N/A,ORD_0098,mumbai,  Electronics  , Debit Card,,  Maharashtra
,nan,4,"Apr 01, 2024",0.00,CUST_0476 ,Sticky Notes,744153,Ship,Good,ord_0099,unknown,  Stationery  ,,+91 90721 64352,Karnataka
N/A,899#,137,21/07/2024,1113.86,CUST_0274,USB Hub,,Cancelled ,1,ORD_0100 , Surat ,  Electronics  ,Net Banking,+91 93510 28790,  Gujarat
10%,1200.0,N/A,"Oct 16, 2024",15600.00,,Laptop Stand,000000,PENDING,5 stars,ORD_0101,SURAT,Electronics,N/A,+91 91332 93927,gujarat
-5,$45.00,331,1674844200,0.00,CUST_,Notebook,17995,delivered,0,ORD_0102 ,kolkata,Stationery,N/A,9971673400,
10,750.00,3,"May 04, 2023",-4500.00,00445,Keyboard,N/A,Delivered,0,ORD_0103,unknown,Electronics,N/A,+91 90787 73217,rajasthan
,inf,16,17/08/2023,-51000.00,#REF!,Monitor,830086, Cancelled,3,ORD_0104,kolkata,ELECTRONICS, Wallet,09425450867,west bengal
26,$450.00,,20/03/2023,,00227,Wireless Mouse,089328,Pending ,5 stars,ord_0105,unknown,Electronics,wallet,919566310771,Maharashtra
,120,9999,"Apr 09, 2023",$0.00,CUST_0267,HDMI Cable - Imported,573536,Retu,6,ord_0106, Bangalore ,  Electronics  ,Credit Card,9161555849,
12,8500..,2,"Dec 25, 2023",,CUST_???,Monitor,, Pending,Good,ORD_0107,  Kolkata,Elec, COD,09490821994,West Beng@l
2,4500..,6,2024-08-07,0.00,00520,Office Chair,047314,PENDING,1,ord_0108, Surat ,FURNITURE, Debit Card,,gujarat
1,"$1,800.00",0,"Nov 21, 2024",-459000.00,CUST_???,Webcam,802988,Delivered,1,ORD_0109 ,  Chennai,ELECTRONICS,DEBIT CARD,9920356520,  Tamil Nadu
-5,$450.00,0,16-06-2024,Rs.446,CUST_,Wireless Mouse,000000,Retu,5,ORD_0110, Bangalore ,electronics,Debit Card,9697687912,Karnataka
25.8,Rs. 9800.00,16,03-10-2023,34692.00,,Standing Desk,000000,Delivered,6,ORD_0111, Bangalore ,Furn,Net Banking,919623233015,K@rn@t@k@
-5,899,5,"Jul 15, 2024",80910.00,#REF!,USB Hub,054514,Retu,4,ORD_0112,Delhi,  Electronics  ,Debit Card,919549911367,delhi
N/A,$750.00,16,21-Dec-2023,Rs.-0,CUST_???,Keyboard,,Returned,5 stars,ORD_0113,Ahmedabad,ELECTRONICS,CREDIT CARD,,  Gujarat
10%,75.00,14,11/07/2024,$225.00,,Screen Cleaner,198793,Canc,-1,ORD_0114 ,unknown,Accessoriess,Wallet,919550735461,Gujarat
null,nan,-4,10/12/2023,"$6,292,370.70",CUST_,USB Hub,286594,Returned,N/A,ord_0115,ahmedabad,  Electronics  ,Credit Card,919738103821,  Gujarat
10.0,35,-3,2024-03-27,81.90,CUST_0353,Pen Set (New),N/A, Pending,5,ORD_0116,jaipur,Stationery,,09566817273,Rajasthan
10%,Rs. 1200.00,-4,29/10/2023,-24000.00,CUST_0365 ,Laptop Stand,076032, Pending,5 stars,ORD_0117,AHMEDABAD,electronics,COD,,
19,nan,9999.0,28-01-2023,-8500.00,CUST_???,Monitor,880864 ,Pendind,,ORD_0257,  Jaipur,Electronicss,upi,09358734685,  Rajasthan
-5,25..,0,04/01/2024,11225.00,00558,Sticky Notes,573859 ,D3liv3r3d,5 stars,ORD_0118,hyderabad,STATIONERY,Debit Card,,
N/A,25,N/A,"Aug 04, 2023",,,Sticky Notes,484502,Delivered,5 stars,ord_0234,unknown,stationery,UPI,,rajasthan
,nan,,1703356200,66195.36,#REF!,Phone Holder,N/A,P3nding,2,ORD_0119,  Jaipur,accessories,Debit Card,+91 91509 54878,R@j@sth@n
-5,$85.00,N/A,2024-11-27,773422.65,CUST_,Stapler - Imported,560929 , Shipped,1,ORD_0120 ,jaipur,STATIONERY,N/A,919202501335,R@j@sth@n
-5,$199.00,,10/12/2023,0.00,00519,Phone Holder,129841,Pending,,ORD_0121,,Accessories,,97785 64119,Delhi
-5,nan,18,19-07-2024,Rs.846,00520,Phone Holder,57347,pending,-1,ord_0122,HYDERABAD,Acce,N/A,,Telangana
0,Rs. 450.00,-2,16-Dec-2023,324.00,CUST_,Wireless Mouse,000000,Deli,6,ORD_0123,,electronics,wallet,,  Rajasthan
150,85#,0,1703615400,Rs.170,00562,Stapler,,Cancelled,5 stars,ord_0124,Ahmedabad,Stat,N/A,+91-91783-17568,Gujarat
29,Rs. 899.00,9999,25-Apr-2024,692.23,,USB Hub,N/A,pending,6,ORD_0125,unknown,Elec, COD,09380958239,Telangana
150,650#,6,2023-08-17,1957.80,00436,Desk Lamp,N/A,Cancelled ,4,ORD_0188,,electronics,,+91-90866-28186,
150,9800#,20,06-Jan-2023,"$29,400.00",CUST_,Standing Desk  ,146291 ,DELIVERED,6,ORD_0126,bangalore,FURNITURE,Net Banking,+91-91009-83116,N/A
,199.0,20,2024-04-05,924.36,,Phone Holder,366298 ,Shipped ,Good,ORD_0127,  Delhi,  Accessories  ,,+91-90306-78755,  Delhi
N/A,Rs. 120.00,12,08/03/2023,480.00,00492,HDMI Cable,956278,Deli,Good,ORD_0128,,  Electronics  ,Net Banking,,delhi
-5,850..,-4,10-02-2024,13600.00,CUST_0253,Laptop Bag,180827 ,PENDING,,ORD_0129 ,unknown,Accessoriess,Debit Card,94032 07713,delhi
150,75,4,2023-11-25,-112.50,CUST_0400 ,Screen Cleaner,521820, Cancelled,5,ORD_0130 ,Pune,  Accessories  ,Debit Card,9260121776,N/A
N/A,25.00,-4,16/11/2023,-12.50,00102,Sticky Notes,905265,PENDING,-1,ORD_0131,unknown,STATIONERY, UPI,96199 48451,Delhi
N/A,8500.00,12,2024-06-23,0.00,#REF!,Monitor,628753 , Pending,2,ORD_0415, Hyderabad ,electronics,,+91-91253-11574,
,Rs. 4500.00,10,"May 28, 2024",0.00,CUST_0418,Office Chair,856856,Deli,2,ORD_0132,Ahmedabad,  Furniture  ,,94092 95639,gujarat
,199.0,20,2024-04-05,924.36,,Phone Holder,366298 ,Shipped ,Good,ORD_0127,  Delhi_dup,  Accessories  ,,+91-90306-78755,  Delhi
150,850#,,25-Jul-2024,0.00,CUST_0140 ,Laptop Bag,967192,Pend,0,ORD_0606 ,  Jaipur,accessories, Credit Card,+91-92660-92217,  Rajasthan
,"$1,800.00",0,05-Mar-2024,0.00,CUST_0127,Webcam,843415 ,delivered,1,ORD_0133,unknown,Elec,UPI,+91 98175 49171,
N/A,45.00,199,1708021800,540.00,,Notebook,N/A,Shipped,Good,ORD_0134 ,"Mumbai,",stationery,Net Banking,91952 12583,Maharashtra
21.7,nan,N/A,15-Mar-2024,30800.00,CUST_0308,Bookshelf,000000,Pending ,Good,ORD_0135, Pune ,  Furniture  ,debit card,,Maharashtra
30.8,Rs. 199.00,18,30/07/2024,0.00,CUST_0270 ,Phone Holder  ,N/A,R3turn3d,0,ord_0136,  Kolkata,Accessories,Debit Card,+91-93358-12490,  West Bengal
,35.00,N/A,10/05/2023,Rs.0,CUST_???,Pen Set,,Shipped,-1,ORD_0137,Surat,Stat, Credit Card,9722734131,  Gujarat
-5,25,0,1696789800,Rs.249975,CUST_0446,Sticky Notes,000000,CANCELLED,6,ORD_0138,Delhi,Stat,UPI,+91-98851-15238,Delhi
null,650..,3,"Aug 21, 2024","$9,509.50",CUST_0153 ,Desk Lamp,017392,Pending,N/A,ORD_0139,delhi,Electronicss,,9780765956,
null,"$4,500.00",13,"Mar 15, 2023",1888560.00,,Office Chair,035116,Delivered ,5 stars,ord_0140,pune,Furnitures,Debit Card,9457995679,
25.0,inf,8,2024-10-01,349965.00,#REF!,Pen Set,000000,Ship,Good,ORD_0141,,Stationery,Debit Card,09837652878,
150,450#,429,07/09/2024,Rs.5850,#REF!,Wireless Mouse,535770,Shipped,-1,ORD_0142, Surat ,Electronicss,Credit Card,9188929389,Guj@r@t
10%,"$2,200.00",N/A,"Jun 30, 2023",39600.00,,Bookshelf,,Delivered,5,ORD_0143,pune,FURNITURE, Credit Card,9733109540,maharashtra
-5,25#,9999,2023-01-18,29.50,CUST_???,Sticky Notes,084184,Pending ,3,ord_0144,"Pune,",Stationerys,Wallet,09232480433,Maharashtra
6,"$1,800.00",9,"Sep 20, 2024",8208.00,CUST_,Webcam,39129,Deli,3,ORD_0145,,Electronics, Credit Card,9522610892,Rajasthan
null,"$9,800.00",12.0,"Jun 18, 2023",0.00,CUST_,Standing Desk,, Pending,,ORD_0146,"Surat,",FURNITURE, Debit Card,+91 96007 60674,N/A
2,2200..,,24-Dec-2024,Rs.8800,,Bookshelf,35870,Pending,Good,ORD_0147 ,SURAT,FURNITURE,,919476253794,Guj@r@t
150,$899.00,18,1716575400,795.62,CUST_???,USB Hub - Imported,53456,SHIPPED,2,ORD_0148 ,,  Electronics  , Credit Card,,N/A
-5,Rs. 8500.00,14,2024-12-25,-52360.00,CUST_???,Monitor,715414 ,Returned ,0,ORD_0149 ,,Electronicss, Net Banking,919538025936,
-5,$25.00,11,2024-02-12,26.25,CUST_0412 ,Sticky Notes,370171,SHIPPED,,ORD_0309,,Stationerys,,9376447138,N/A
null,199.0,9999,2023-10-23,,CUST_???,Phone Holder,290418, Returned,-1,ORD_0150,,accessories,,9192463021,maharashtra
10%,450,N/A,17-04-2024,4499550.00,00553,Wireless Mouse,669668,Shipp3d,N/A,ORD_0151,Surat,electronics,,+91 98395 13183,N/A
2.2,75,15,"Aug 17, 2023",64.50,CUST_0217 ,Screen Cleaner  ,360703 ,shipped,1,ORD_0152 ,hyderabad,Acce,UPI,+91-95876-73196,  Telangana
,$850.00,6,17/03/2023,191250.00,CUST_0463,Laptop Bag,569171 ,RETURNED,4,ORD_0153 ,  Kolkata,  Accessories  ,debit card,+91 97574 73998,west bengal
23.5,1800,457,07/01/2024,$-0.00,00559,Webcam,57092,Cancelled,0,ORD_0154, Delhi ,Electronics,,09873195290,delhi
0,25#,-1,"Feb 02, 2024",,,Sticky Notes,074169, Shipped,N/A,ORD_0249,"Chennai,",STATIONERY, Credit Card,+91-92693-03009,N/A
10%,1200,N/A,11-04-2024,Rs.948,CUST_,Laptop Stand,501638 ,Deli,N/A,ORD_0155 , Kolkata ,electronics,upi,,West Beng@l
,1800.00,16,"May 24, 2023",0.00,00459,Webcam (New),28575,Shipp3d,-1,ORD_0156,unknown,ELECTRONICS,wallet,9519818965,gujarat
23.3,8500..,245,15-Jul-2023,8625.80,CUST_0395,Monitor (New),,Cancelled,N/A,ORD_0157,  Hyderabad,Electronics,Credit Card,,Telangana
N/A,Rs. 85.00,273,2024-06-14,0.00,CUST_0445,Stapler,91582,Canc,0,ORD_0158,PUNE,  Stationery  ,CREDIT CARD,98865 39826,Maharashtra
26,$450.00,-3,07-04-2023,,#REF!,Wireless Mouse,000000,PENDING,5,ORD_0159,,  Electronics  ,N/A,9348233488,  Rajasthan
29,35.00,5,01/09/2023,Rs.433,CUST_0545,Pen Set,085966,Returned,Good,ORD_0160,  Hyderabad,Stat,N/A,919439079448,Telangana
150,"$8,500.00",-5,12-Jul-2024,1550995.00,CUST_???,Monitor,298055,Pend,,ORD_0161,ahmedabad,Elec,Net Banking,9347005210,  Gujarat
150,inf,9999.0,1720290600,0.00,00522,Standing Desk,274542,shipped,0,ORD_0162 ,  Chennai,Furn,N/A,,
8,85..,0,30-Nov-2024,Rs.1445,CUST_,Stapler,35853, Returned,N/A,ORD_0163 ,surat,Stationerys,wallet,+91 99149 83687,  Gujarat
